depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr,poreice_CT_hr,totalice_CT_hr,organic_CT_hr,mineral_CT_hr
41.7,1.818,38.601,27.227,32.354,32.59684273886114,71.19784273886114,6.295702650833802,20.688454610305058
41.705,1.788,38.55,27.238,32.425,32.63517588910237,71.18517588910237,6.302578702002823,20.7252454088948
41.71,1.767,38.436,27.405,32.392,32.73457394106482,71.17057394106482,6.323884059876772,20.738541999058405
41.715,1.755,38.297,27.641,32.307,32.85837512303472,71.15537512303472,6.35112286726696,20.738502009698323
41.72,1.727,38.266,27.84,32.168,32.93352087415684,71.19952087415683,6.369055808824304,20.705423317018848
41.725,1.711,38.315,27.901,32.073,32.933796907725466,71.24879690772546,6.370634413009006,20.669568679265527
41.73,1.705,38.477,27.874,31.944,32.85937251145794,71.33637251145794,6.357142809068985,20.60148467947307
41.735,1.701,38.659,27.786,31.855,32.76078057887806,71.41978057887806,6.337959115799113,20.542260305322827
41.74,1.695,38.883,27.673,31.748,32.63734371777781,71.52034371777782,6.313870291482125,20.469785990740068
41.745,1.708,39.03,27.73,31.532,32.5823343027088,71.6123343027088,6.30582980442029,20.373835892870908
41.75,1.719,39.135,27.781,31.365,32.54452383072756,71.67952383072756,6.300599922778769,20.30087624649367
41.755,1.709,39.363,27.81,31.118,32.45697929772043,71.81997929772044,6.286254958417374,20.184765743862194
41.76,1.723,39.728,27.749,30.8,32.2772997980943,72.0052997980943,6.253787820324551,20.017912381581148
41.765,1.722,40.061,27.794,30.423,32.144181010825776,72.20518101082578,6.231997768601646,19.840821220572575
41.77,1.716,40.378,27.808,30.098,32.01253844826316,72.39053844826316,6.209683794671,19.683777757065833
41.775,1.696,40.608,27.858,29.837,31.933214190487732,72.54121419048772,6.197281236981423,19.564504572530844
